Locality,FIPS,Year,DeathCount,DeathRate,Theme1,Theme2,Theme3,Theme4,Themes,PctDisabled,PctUnemployed,PctUninsured,PctMinority,PctPov150
Alleghany County,51005,2018,1,6.706908115,0.6667,0.7045,0.0833,0.5,0.553,18.5,5.6,7,8.5,20.2
Amelia County,51007,2018,1,7.684623069,0.3864,0.5227,0.5152,0.4621,0.4242,13.8,2.8,11.2,26.7,13.4
Amherst County,51009,2018,0,0,0.697,0.4167,0.4773,0.5682,0.6288,14.8,6.1,10.3,24.9,13.9
Appomattox County,51011,2018,1,6.312732782,0.4773,0.8485,0.3333,0.2576,0.4697,16.8,3.8,8.2,23.3,13.5
Arlington County,51013,2018,14,5.894215669,0.0152,0,0.8712,0.8258,0.1364,5.9,2.9,6.6,38.2,7.2
Augusta County,51015,2018,5,6.62629047,0.2727,0.1439,0.2197,0.3561,0.1591,13.1,3.6,8.9,8.8,9.2
Bath County,51017,2018,1,23.29916123,0.5833,0.1288,0.0985,0.3864,0.2727,16.7,8.8,15.3,8.2,11.3
Bedford County,51019,2018,5,6.349448233,0.2576,0.2348,0.2652,0.1742,0.1288,14.1,4,8.1,12.1,9.1
Bland County,51021,2018,0,0,0.4621,0.4697,0.0303,0.7955,0.4242,18.5,7.1,8.5,3.7,8.4
Botetourt County,51023,2018,6,18.0304715,0.1288,0.3712,0.25,0.1061,0.0909,15,3.9,4.9,7.1,8
Bristol City,51520,2018,1,6.067224851,0.8182,0.9621,0.1667,0.6136,0.7955,24.2,5.9,11.5,12.7,22.7
Brunswick County,51025,2018,3,18.31054688,0.9318,0.8182,0.7121,0.7121,0.9242,20.1,7.1,8.3,59.3,21.4
Buchanan County,51027,2018,10,47.12313275,0.9924,0.6742,0.0606,0.6742,0.7727,25.5,8.1,13.6,4.9,27.7
Buckingham County,51029,2018,0,0,0.8939,0.6439,0.447,0.7348,0.8258,17.6,6.9,12.1,38.9,17.1
Buena Vista City,51530,2018,0,0,0.6742,0.1894,0.0682,0.3561,0.3258,15.3,2.4,14.6,12,20.1
Campbell County,51031,2018,3,5.457224456,0.3636,0.5909,0.4394,0.2955,0.3409,15.5,3.7,9.8,20,11.8
Caroline County,51033,2018,9,29.24736774,0.3485,0.5682,0.4924,0.5985,0.5,12.1,5.4,7,36.5,8.3
Carroll County,51035,2018,3,10.12282359,0.6136,0.7273,0.3409,0.2121,0.4773,18.3,3.5,11.9,5.3,15
Charles City County,51036,2018,1,14.40714594,0.5,0.2197,0.5,0.1288,0.3106,16.8,5,9.1,58.2,13.1
Charlotte County,51037,2018,1,8.376612498,0.8636,0.9545,0.3106,0.4242,0.7576,21,5.8,13.6,32.3,24.1
Charlottesville City,51540,2018,5,10.39133778,0.3636,0.0379,0.8182,0.8939,0.5303,9,4.1,9.1,34.3,24.6
Chesapeake City,51550,2018,32,13.18858857,0.2424,0.5152,0.7576,0.3939,0.3636,10.8,5.1,7.5,42.1,9
Chesterfield County,51041,2018,65,18.6483664,0.1742,0.4545,0.8333,0.1591,0.2576,10.5,4.9,7.6,37.7,7.1
Clarke County,51043,2018,4,27.54251876,0.2121,0.3939,0.4015,0.1136,0.1212,10.8,3.8,14.2,13.5,10
Colonial Heights City,51570,2018,8,44.8606516,0.5455,0.947,0.697,0.1894,0.6591,15.6,9.1,8.2,26.9,13.5
Covington City,51580,2018,0,0,0.5758,0.7879,0.1439,0.6061,0.5833,17.8,4.9,12,18.8,15.2
Craig County,51045,2018,0,0,0.1667,0.3106,0.0227,0.2424,0.1061,17.8,1.4,3.9,0.4,8.5
Culpeper County,51047,2018,12,23.13966717,0.3788,0.5,0.7727,0.697,0.6364,11.3,5.3,9.4,29.3,8.2
Cumberland County,51049,2018,0,0,0.8561,0.8636,0.4091,0.2727,0.6894,17.8,7,13.8,36.7,19.4
Danville City,51590,2018,5,12.28712555,0.9242,0.9773,0.7803,0.9621,0.9848,19.1,9.2,10.4,57,21.9
Dickenson County,51051,2018,2,13.77125938,0.8712,0.8106,0.0076,0.7424,0.7197,25.6,5.6,9.6,2.3,24.3
Dinwiddie County,51053,2018,3,10.51561569,0.6742,0.5076,0.6894,0.3106,0.6136,15.1,7,9.8,38.2,12.8
Emporia City,51595,2018,1,19.52743605,1,0.9015,0.6591,0.9242,0.9773,13.8,23.3,18.8,77.5,29
Essex County,51057,2018,0,0,0.6288,0.8333,0.7197,0.5076,0.7045,13.7,5.1,8.6,45.2,13.7
Fairfax City,51059,2018,3,12.20802474,0.0758,0.1212,0.9697,0.5227,0.2879,7.1,4.2,8.6,48.8,6.2
Fairfax County,51600,2018,78,6.777923088,0.0985,0.0606,0.9545,0.7045,0.303,7.2,4,8,43.2,8.7
Falls Church City,51610,2018,2,13.53912808,0,0.1591,0.6439,0.4848,0.1515,5.9,3.9,2.6,28.3,2.7
Fauquier County,51061,2018,20,28.2985497,0.0379,0.1742,0.5682,0.0152,0.0606,9.9,3.4,7.9,19.6,6.1
Floyd County,51063,2018,0,0,0.3561,0.2879,0.2273,0.0985,0.1667,13.6,2.4,6.8,6.6,11.4
Fluvanna County,51065,2018,4,14.93484673,0.1515,0.1515,0.3939,0.0606,0.0758,12.9,5.2,7.2,21.5,4.9
Franklin City,51067,2018,1,12.47972045,0.5076,0.5758,0.3561,0.5909,0.5379,15.1,5,10.4,13,16.4
Franklin County,51620,2018,13,23.13373076,0.8409,0.9242,0.5227,0.3106,0.75,13.9,15,9.1,62.9,16.2
Frederick County,51069,2018,13,14.71337219,0.1894,0.3485,0.5606,0.4394,0.2652,11.7,3.7,9.9,16.1,6.2
Fredericksburg City,51630,2018,15,51.46856986,0.3409,0.25,0.9091,0.8864,0.6818,12.1,5.4,10.8,40.2,14.1
Galax City,51640,2018,0,0,0.947,1,0.7652,0.9545,1,24.3,6.4,15.3,24.7,25.5
Giles County,51071,2018,0,0,0.4167,0.9167,0.1591,0.1818,0.3939,16.8,4.6,8.9,5,11.3
